Name','Type','Region','Country','Lat','Long','Elev Ft.','Pop Est
Caher,city,Clare,Ireland,52.9647222,-8.6452778,232,2512
Caher Lower,city,Clare,Ireland,53.1247222,-9.2486111,616,2069
Caherbannagh,city,Clare,Ireland,53.1169444,-9.2355556,577,2069
Caherconnell,city,Clare,Ireland,53.0411111,-9.1475,452,2497
Caherlean,city,Clare,Ireland,52.7383333,-9.5694444,3,1662
Caherloughlin,city,Clare,Ireland,53.1341667,-9.1080556,242,1170
Cahermacnaghten,city,Clare,Ireland,53.0494444,-9.1933333,524,2481
Cahersherkin,city,Clare,Ireland,52.9466667,-9.2294444,351,2503
Callaghans Bridge,city,Clare,Ireland,52.7491667,-8.6427778,285,2858
Callaghans Bridge,city,Clare,Ireland,52.7491667,-8.6427778,285,2858
Cappagh,city,Clare,Ireland,52.6333333,-9.5,0,2509
Cappanavarnoge,city,Clare,Ireland,52.6572222,-9.1544444,246,3371
Capparoe,city,Clare,Ireland,52.9172222,-8.5805556,219,2503
Carhameere,city,Clare,Ireland,52.7519444,-9.0641667,144,2514
Carraig an Chabhaltaigh,city,Clare,Ireland,52.6033333,-9.7080556,0,1955
Carran,city,Clare,Ireland,53.0380556,-9.0780556,495,2497
Carranahingan Bridge,city,Clare,Ireland,52.8763889,-9.0102778,82,2507
Carrigaholt,city,Clare,Ireland,52.6033333,-9.7080556,0,1955
Carrowauff,city,Clare,Ireland,52.9858333,-9.3516667,328,2206
Castletown,city,Clare,Ireland,53.0280556,-9.0686111,498,2497
Cill an Disirt,city,Clare,Ireland,52.6716667,-9.1063889,3,2794
Cill an Dísirt,city,Clare,Ireland,52.6716667,-9.1063889,3,2794
Cill Bheathach,city,Clare,Ireland,52.55,-9.8672222,0,662
Cill Chaoi,city,Clare,Ireland,52.6791667,-9.6441667,36,1562
Cill Chisin,city,Clare,Ireland,52.8066667,-8.7458333,206,2511
Cill Chisín,city,Clare,Ireland,52.8066667,-8.7458333,206,2511
Cill Dalua,city,Clare,Ireland,52.8066667,-8.4436111,180,2359
Cill Fhionnurach,city,Clare,Ireland,52.9938889,-9.2136111,242,2500
Cill Fhionnúrach,city,Clare,Ireland,52.9938889,-9.2136111,242,2500
Cill Inine Baoith,city,Clare,Ireland,52.9719444,-9.0813889,187,2500
Cill Iníne Baoith,city,Clare,Ireland,52.9719444,-9.0813889,187,2500
Cill Mhichil,city,Clare,Ireland,52.7213889,-9.3186111,246,2517
Cill Mhichíl,city,Clare,Ireland,52.7213889,-9.3186111,246,2517
Cill Mhicil,city,Clare,Ireland,52.7213889,-9.3186111,246,2517
Cill Mhicíl,city,Clare,Ireland,52.7213889,-9.3186111,246,2517
Cill Mhuire,city,Clare,Ireland,52.7761111,-8.7827778,154,2514
Cill Rois,city,Clare,Ireland,52.6397222,-9.4833333,3,2509
Clare,city,Clare,Ireland,52.8155556,-8.9666667,19,2511
Clarecastle,city,Clare,Ireland,52.8155556,-8.9666667,19,2511
Clareen Bridge,city,Clare,Ireland,52.7744444,-9.0166667,78,2514
Clareville,city,Clare,Ireland,53.1166667,-9.1333333,183,1903
Claureen Bridge,city,Clare,Ireland,52.85,-8.9983333,88,2510
Cleedagh Bridge,city,Clare,Ireland,52.8588889,-9.4277778,101,1261
Cloghannmore,city,Clare,Ireland,52.8527778,-9.3372222,433,2411
Cloghanulk,city,Clare,Ireland,53.0886111,-9.3255556,147,1207
Cloghaun Bridge,city,Clare,Ireland,52.8947222,-8.6305556,206,2507
