"03 ,Attempts/threats to murder, assaults, harassments and related offences","Caherconlish, Limerick Division",16,9,5,7,4,4,4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cahir, Tipperary Division",22,35,23,24,24,17,12
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Callan, Kilkenny/Carlow Division",15,19,20,19,12,15,11
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Campile, Wexford Division",6,6,4,0,4,10,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cappamore, Limerick Division",11,2,6,13,4,6,3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cappawhite, Tipperary Division",10,2,9,4,4,5,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cappoquin, Waterford Division",5,9,8,4,13,13,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carbury, Kildare Division",10,12,21,9,9,9,5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carlingford, Louth Division",17,13,14,8,11,15,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carlow, Kilkenny/Carlow Division",261,196,133,118,124,106,50
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carna, Galway Division",7,3,5,7,4,2,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carndonagh, Donegal Division",65,52,40,44,27,27,13
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carnew, Wicklow Division",9,10,11,7,4,9,5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carraig Airt, Donegal Division",13,8,7,1,16,8,6
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carrickbyrne, Wexford Division",3,12,6,2,1,9,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carrickmacross, Cavan/Monaghan Division",57,49,45,41,41,48,27
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carrick-on-Bannow, Wexford Division",19,15,5,7,3,5,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carrick-On-Shannon, Sligo/Leitrim Division",52,57,47,47,48,43,41
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carrick-On-Suir, Tipperary Division",30,36,30,42,26,31,24
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carrigaline, Cork City Division",44,34,40,34,34,27,12
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carrigallen, Sligo/Leitrim Division",0,1,2,1,3,1,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carrigans, Donegal Division",10,12,6,3,9,6,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Carrigtwohill, Cork North Division",13,24,16,16,17,15,4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cashel, Tipperary Division",31,35,21,30,28,30,18
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castlebar, Mayo Division",117,65,106,105,108,91,27
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castlebellingham, Louth Division",16,12,11,5,12,13,5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castleblayney, Cavan/Monaghan Division",42,38,60,50,38,43,30
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castlebridge, Wexford Division",11,8,14,6,6,11,5
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castlecomer, Kilkenny/Carlow Division",13,18,18,15,10,20,3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castleconnell, Limerick Division",13,14,13,14,7,11,9
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castledermot, Kildare Division",12,11,15,9,7,24,4
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castlefin, Donegal Division",10,14,13,24,12,11,6
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castlegregory, Kerry Division",3,6,8,5,4,8,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castleisland, Kerry Division",29,32,26,16,12,26,6
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castlemaine, Kerry Division",3,5,5,0,0,5,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castlepollard, Westmeath Division",5,6,13,6,1,1,3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castlerea, Roscommon/Longford Division",28,33,40,40,97,125,16
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castletownbere, Cork West Division",9,12,20,11,7,11,3
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Castletownroche, Cork North Division",7,8,4,5,4,6,1
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cavan, Cavan/Monaghan Division",130,117,125,120,122,142,53
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Celbridge, Kildare Division",33,51,36,51,26,57,32
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Charlestown, Mayo Division",8,12,21,13,14,8,2
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Charleville, Cork North Division",35,37,23,23,19,24,9
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Cill Ronain, Galway Division",5,5,2,1,3,5,0
"03 ,Attempts/threats to murder, assaults, harassments and related offences","Clane, Kildare Division",23,36,36,41,33,29,28
